Variable,Units,Description,Dim,Type
Timestamp,-,Time stamp of faceplate current measurement,1,CDF_EPOCH
Latitude,-,"Geodetic latitude, WGS84",1,CDF_DOUBLE
Longitude,-,"Geodetic longitude, WGS84",1,CDF_DOUBLE
Height,-,"Height above reference ellipsoid, WGS84",1,CDF_DOUBLE
Radius,-,Distance from the Earth's centre,1,CDF_DOUBLE
SZA,-,Solar Zenith Angle,1,CDF_DOUBLE
SAz,-,"Solar Azimuth in Earth frame, north is 0 deg",1,CDF_DOUBLE
ST,-,Apparent Solar Time,1,CDF_DOUBLE
Diplat,-,Quasi-dipole latitude,1,CDF_DOUBLE
Diplon,-,Quasi-dipole longitude,1,CDF_DOUBLE
MLat,-,Magnetic latitude,1,CDF_DOUBLE
MLT,-,Magnetic local time based on quasi-dipole,1,CDF_DOUBLE
AACGMLat,-,Altitude-adjusted corrected geomagnetic latitude,1,CDF_DOUBLE
AACGMLon,-,Altitude-adjusted corrected geomagnetic longitude,1,CDF_DOUBLE
n,-,Plasma density from ion current,1,CDF_DOUBLE
Te_hgn,-,"Electron temperature, estimated by the high gain probe",1,CDF_DOUBLE
Te_lgn,-,"Electron temperature, estimated by the low gain probe",1,CDF_DOUBLE
T_elec,-,"Electron temperature, blended value",1,CDF_DOUBLE
Vs_hgn,-,"Spacecraft potential, estimated by the high gain probe",1,CDF_DOUBLE
Vs_lgn,-,"Spacecraft potential, estimated by the low gain probe",1,CDF_DOUBLE
U_SC,-,"Spacecraft potential, blended value",1,CDF_DOUBLE
Flagbits,-,Flag bits indicating data quality or instrument configuration,1,CDF_INT4
