Variable,Units,Description,Dim,Type
Timestamp,-,-,1,CDF_DOUBLE
latitude,-,-,1,CDF_DOUBLE
longitude,-,-,1,CDF_DOUBLE
radius,-,-,1,CDF_DOUBLE
v_SC,-,-,3,CDF_DOUBLE
v_ion,-,-,3,CDF_DOUBLE
E,-,-,3,CDF_DOUBLE
T_ion,-,-,1,CDF_DOUBLE
v_ion_H,-,-,2,CDF_DOUBLE
v_ion_V,-,-,2,CDF_DOUBLE
rms_fit_H,-,-,1,CDF_DOUBLE
rms_fit_V,-,-,1,CDF_DOUBLE
var_x_H,-,-,1,CDF_DOUBLE
var_y_H,-,-,1,CDF_DOUBLE
var_x_V,-,-,1,CDF_DOUBLE
var_y_V,-,-,1,CDF_DOUBLE
SAA,-,-,1,CDF_INT4
Flags_TII,-,-,1,CDF_INT4
Flags_Platform,-,-,1,CDF_INT4
Maneuver_Id,-,-,1,CDF_INT4
