Variable,Units,Description,Dim,Type
Timestamp,-,"Time of observation, UTC",1,CDF_EPOCH
Counter,-,Swarm orbit counter and quarter orbit (four per Swarm orbit) counter that are based on magnetic coordinates as defined in [AD-2] (Sect. 4.1.2.2),2,CDF_UINT4
Latitude,-,Position of the MIT minimum in ITRF - Geocentric latitude,1,CDF_DOUBLE
Longitude,-,Position of the MIT minimum in ITRF - Geocentric longitude,1,CDF_DOUBLE
Radius,-,Position of the MIT minimum in ITRF - Geocentric radius (from the Earth center),1,CDF_DOUBLE
Latitude_QD,-,QD latitude of the MIT minimum,1,CDF_DOUBLE
Longitude_QD,-,QD longitude of the MIT minimum,1,CDF_DOUBLE
MLT,-,Magnetic Local Time of MIT minimum,1,CDF_DOUBLE
L_value,-,L-value of the MIT minimum,1,CDF_DOUBLE
SZA,-,Solar zenith angle of the MIT minimum,1,CDF_DOUBLE
Ne,-,LP electron densities of the MIT minimum,1,CDF_DOUBLE
Te,-,LP electron temperatures of the MIT minimum,1,CDF_DOUBLE
Depth,-,Depth of the MIT,1,CDF_DOUBLE
DR,-,Relative change in density within the MIT,1,CDF_DOUBLE
Width,-,Width of the MIT calculated from QD latitudes,1,CDF_DOUBLE
dL,-,Width of the MIT calculated from L-values,1,CDF_DOUBLE
PW_Gradient,-,Change in log electron density at the poleward wall of the MIT divided by QD latitude difference,1,CDF_DOUBLE
EW_Gradient,-,Change in log electron density at the equatorward wall of the MIT divided by QD latitude difference,1,CDF_DOUBLE
Quality,-,Characterizes the detection quality of the MIT as a whole,8,CDF_INT1
Timestamp_ID,-,"Vector of times of observation, UTC",7,CDF_EPOCH
Latitude_ID,-,Vector of Positions in ITRF - Geocentric latitude,7,CDF_DOUBLE
Longitude_ID,-,Vector of Positions in ITRF - Geocentric longitude,7,CDF_DOUBLE
Radius_ID,-,Vector of Positions in ITRF - Geocentric radius (from the Earth centre),7,CDF_DOUBLE
Latitude_QD_ID,-,Vector of QD latitudes,7,CDF_DOUBLE
Longitude_QD_ID,-,Vector of QD longitudes,7,CDF_DOUBLE
MLT_ID,-,Vector of Magnetic Local Times,7,CDF_DOUBLE
L_value_ID,-,Vector of L-values in Earth radii,7,CDF_DOUBLE
SZA_ID,-,Vector of solar zenith angles,7,CDF_DOUBLE
Ne_ID,-,Vector of LP electron densities,7,CDF_DOUBLE
Te_ID,-,Vector of LP electron temperatures,7,CDF_DOUBLE
Position_Quality_ID,-,Vector of quality indicators characterizing the detection quality of each single positions,7,CDF_INT1
