Variable,Units,Description,Dim,Type
t, ,"Time of observation, UTC",1,CDF_EPOCH
Latitude,deg,Position in ITRF - Geocentric latitude,1,CDF_DOUBLE
Longitude,deg,Position in ITRF - Geocentric longitude,1,CDF_DOUBLE
Radius,m,Position in ITRF - Geocentric radius (from the Earth center),1,CDF_DOUBLE
Latitude_QD,deg,Quasi-dipole latitude,1,CDF_DOUBLE
Longitude_QD,deg,Quasi-dipole longitude,1,CDF_DOUBLE
MLT,hour,Magnetic Local Time (QD),1,CDF_DOUBLE
Boundary_Flag,N/A,Indicator for equatorward (=1) or poleward (=2) boundary,1,CDF_UINT1
Quality,N/A,"Quality indicator of equatorward/poleward boundary (Pa, Sigma)",2,CDF_DOUBLE
Pair_Indicator,N/A,"Indicator of equatorward/poleward boundary of auroral oval. If the auroral oval boundaries are detectable as one pair, the pair indicator represents the record of previous (-1) or next (1) equatorward/poleward boundary within one pair; otherwise, the pair indicator is set to 0",1,CDF_INT1
