Variable,Units,Description,Dim,Type
Timestamp,,-,1,CDF_EPOCH
Latitude,degrees,-,1,CDF_REAL4
Longitude,degrees,-,1,CDF_REAL4
Radius,m,-,1,CDF_REAL4
QDLatitude,degrees,-,1,CDF_REAL4
MLT,hour,-,1,CDF_REAL4
Vixh,m/s,-,1,CDF_REAL4
Vixh_error,m/s,-,1,CDF_REAL4
Vixv,m/s,-,1,CDF_REAL4
Vixv_error,m/s,-,1,CDF_REAL4
Viy,m/s,-,1,CDF_REAL4
Viy_error,m/s,-,1,CDF_REAL4
Viz,m/s,-,1,CDF_REAL4
Viz_error,m/s,-,1,CDF_REAL4
VsatN,m/s,-,1,CDF_REAL4
VsatE,m/s,-,1,CDF_REAL4
VsatC,m/s,-,1,CDF_REAL4
Ehx,mV/m,-,1,CDF_REAL4
Ehy,mV/m,-,1,CDF_REAL4
Ehz,mV/m,-,1,CDF_REAL4
Evx,mV/m,-,1,CDF_REAL4
Evy,mV/m,-,1,CDF_REAL4
Evz,mV/m,-,1,CDF_REAL4
Bx,nT,-,1,CDF_REAL4
By,nT,-,1,CDF_REAL4
Bz,nT,-,1,CDF_REAL4
Vicrx,m/s,-,1,CDF_REAL4
Vicry,m/s,-,1,CDF_REAL4
Vicrz,m/s,-,1,CDF_REAL4
Quality_flags,,-,1,CDF_UINT2
Calibration_flags,,-,1,CDF_UINT4
