Variable,Units,Description,Dim,Type
Timestamp,ms,"Time, UTC",1,CDF_EPOCH
Latitude,degrees,"Position in ITRF, Latitude",1,CDF_DOUBLE
Longitude,degrees,"Position in ITRF, Longitude",1,CDF_DOUBLE
Radius,m,"Position in ITRF, Radius",1,CDF_DOUBLE
IRC,uA/m2,Ionospheric radial current (IRC),1,CDF_DOUBLE
IRC_Error,uA/m2,uncertainty of IRC,1,CDF_DOUBLE
FAC,uA/m2,Field-aligned current (FAC),1,CDF_DOUBLE
FAC_Error,uA/m2,uncertainty of FAC,1,CDF_DOUBLE
Flags,-,Flags characterizing the product quality (processing flags),1,CDF_UINT4
Flags_F,-,Flags_F passed through from L1b and accumulated for quad points,1,CDF_UINT4
Flags_B,-,Flags_B passed through from L1b and accumulated for quad points,1,CDF_UINT4
Flags_q,-,Flags_q passed through from L1b and accumulated for quad points,1,CDF_UINT4
