Variable,Units,Description,Dim,Type
Timestamp,-,Time stamp,1,CDF_EPOCH
SyncStatus,-,Synchronization status,1,CDF_UINT2
Latitude,deg,Position in ITRF - Latitude,1,CDF_DOUBLE
Longitude,deg,Position in ITRF - Longitude,1,CDF_DOUBLE
Radius,m,Position in ITRF - Radius,1,CDF_DOUBLE
F,nT,Magnetic field intensity,1,CDF_DOUBLE
dF_AOCS,nT,Magnetic stray field correction intensity of AOCS magneto-torquer coils,1,CDF_DOUBLE
dF_other,nT,Magnetic stray field correction intensity of all other sources,1,CDF_DOUBLE
F_error,nT,Error estimate on magnetic field intensity,1,CDF_DOUBLE
B_VFM,nT,"Magnetic field vector, VFM frame",3,CDF_DOUBLE
B_NEC,nT,"Magnetic field vector, NEC frame",3,CDF_DOUBLE
dB_Sun,nT,"Magnetic stray field correction vector of Sun induced perturbation, VFM frame",3,CDF_DOUBLE
dB_AOCS,nT,"Magnetic stray field correction vector of AOCS magneto-torquer coils, VFM frame",3,CDF_DOUBLE
dB_other,nT,"Magnetic stray field correction vector of all other sources, VFM frame",3,CDF_DOUBLE
B_error,nT,"Error estimates on magnetic field, VFM frame",3,CDF_DOUBLE
q_NEC_CRF,-,"Quaternion, transformation: NEC - CRF",4,CDF_DOUBLE
Att_error,mdeg,Error estimates on attitude information,1,CDF_DOUBLE
Flags_F,-,Flags characterizing the magnetic field intensity measurement (F),1,CDF_UINT1
Flags_B,-,Flags characterizing the magnetic field measurement,1,CDF_UINT1
Flags_q,-,Flags characterizing the attitude information,1,CDF_UINT1
Flags_Platform,-,Flags characterizing the S/C platform information,1,CDF_UINT2
ASM_Freq_Dev,-,ASM frequency calibration data deviation,1,CDF_DOUBLE
