Variable,Units,Description,Dim,Type
Timestamp, ,"Time of observation, UTC",1,CDF_EPOCH
Counter,N/A,Swarm orbit counter and quarter orbit (four per Swarm orbit) counter that are based on magnetic coordinates as defined in [AD-2] (Sect. 4.1.2.2),2,CDF_UINT4
Latitude,deg,Position of the MIT minimum in ITRF - Geocentric latitude,1,CDF_DOUBLE
Longitude,deg,Position of the MIT minimum in ITRF - Geocentric longitude,1,CDF_DOUBLE
Radius,m,Position of the MIT minimum in ITRF - Geocentric radius (from the Earth center),1,CDF_DOUBLE
Latitude_QD,deg,QD latitude of the MIT minimum,1,CDF_DOUBLE
Longitude_QD,deg,QD longitude of the MIT minimum,1,CDF_DOUBLE
MLT,h,Magnetic Local Time of MIT minimum,1,CDF_DOUBLE
L_value,N/A,L-value of the MIT minimum,1,CDF_DOUBLE
SZA,deg,Solar zenith angle of the MIT minimum,1,CDF_DOUBLE
Ne,1/cm^3,LP electron densities of the MIT minimum,1,CDF_DOUBLE
Te,K,LP electron temperatures of the MIT minimum,1,CDF_DOUBLE
Depth,1/cm^3,Depth of the MIT,1,CDF_DOUBLE
DR,%,Relative change in density within the MIT,1,CDF_DOUBLE
Width,deg,Width of the MIT calculated from QD latitudes,1,CDF_DOUBLE
dL,N/A,Width of the MIT calculated from L-values,1,CDF_DOUBLE
PW_Gradient,log(1/cm^3)/deg,Change in log electron density at the poleward wall of the MIT divided by QD latitude difference,1,CDF_DOUBLE
EW_Gradient,log(1/cm^3)/deg,Change in log electron density at the equatorward wall of the MIT divided by QD latitude difference,1,CDF_DOUBLE
Quality,N/A,Characterizes the detection quality of the MIT as a whole,8,CDF_INT1
Timestamp_ID, ,"Vector of times of observation, UTC",7,CDF_EPOCH
Latitude_ID,deg,Vector of Positions in ITRF - Geocentric latitude,7,CDF_DOUBLE
Longitude_ID,deg,Vector of Positions in ITRF - Geocentric longitude,7,CDF_DOUBLE
Radius_ID,m,Vector of Positions in ITRF - Geocentric radius (from the Earth centre),7,CDF_DOUBLE
Latitude_QD_ID,deg,Vector of QD latitudes,7,CDF_DOUBLE
Longitude_QD_ID,deg,Vector of QD longitudes,7,CDF_DOUBLE
MLT_ID,h,Vector of Magnetic Local Times,7,CDF_DOUBLE
L_value_ID,N/A,Vector of L-values in Earth radii,7,CDF_DOUBLE
SZA_ID,deg,Vector of solar zenith angles,7,CDF_DOUBLE
Ne_ID,1/cm^3,Vector of LP electron densities,7,CDF_DOUBLE
Te_ID,K,Vector of LP electron temperatures,7,CDF_DOUBLE
Position_Quality_ID,N/A,Vector of quality indicators characterizing the detection quality of each single positions,7,CDF_INT1
